classe_real,predicao
1.0,1.0
0.0,0.0011296807
1.0,0.9999999
1.0,0.9999937
0.0,2.2234978e-08
0.0,0.00017123748
1.0,0.9994319
1.0,1.0
1.0,0.99999976
0.0,0.0010754168
1.0,0.93930435
1.0,0.99825233
0.0,2.6709094e-07
0.0,0.0075543164
1.0,0.93634206
1.0,0.9999895
1.0,0.999998
0.0,0.0018211389
0.0,0.019863343
0.0,0.001877715
0.0,6.15573e-07
0.0,0.0012810486
1.0,0.9998987
1.0,0.9993156
0.0,0.005078856
0.0,0.0018433022
0.0,0.012252961
0.0,0.0015049702
1.0,0.99998987
1.0,0.9999988
0.0,0.0145158665
1.0,0.9921077
1.0,0.99999857
1.0,0.99839103
1.0,0.0071194805
1.0,0.99997354
1.0,1.0
0.0,0.0007257527
0.0,0.00029333172
1.0,1.0
1.0,0.9997185
1.0,1.0
0.0,0.0048768637
0.0,3.8198246e-05
1.0,0.9994356
0.0,0.51439327
0.0,0.021239862
0.0,3.9642448e-05
0.0,0.0103803165
1.0,0.9999968
0.0,3.9593557e-05
0.0,0.0030974553
0.0,0.3262956
1.0,0.9916642
0.0,7.906932e-07
0.0,0.02957437
1.0,0.99953985
0.0,0.00045469048
0.0,0.0005429677
0.0,0.005332172
1.0,0.99964106
0.0,0.00851755
0.0,6.710227e-07
1.0,0.9997899
1.0,0.99421704
1.0,0.84797305
1.0,0.9999796
0.0,0.00056864123
0.0,4.7254603e-06
1.0,0.9997789
1.0,0.99996257
1.0,1.0
0.0,7.148054e-05
1.0,0.99999654
1.0,0.9946477
0.0,5.0884348e-05
0.0,0.009562226
1.0,0.9999919
1.0,0.9999918
0.0,3.7087862e-05
0.0,0.008277519
0.0,0.00043243356
0.0,0.00018658284
0.0,0.014730192
0.0,0.116175264
1.0,0.99999106
1.0,1.0
1.0,0.999949
1.0,0.99999213
0.0,7.800407e-05
0.0,9.28369e-05
0.0,0.1028606
1.0,0.99997926
1.0,0.9999815
0.0,1.1578646e-06
0.0,8.29767e-05
0.0,1.0490473e-05
0.0,0.0010438845
0.0,6.1837675e-08
1.0,0.9999645
1.0,0.99887997
1.0,0.9999995
0.0,2.2142895e-05
0.0,0.0037707316
0.0,2.033588e-05
1.0,0.007859903
0.0,0.008920784
1.0,0.9999974
1.0,0.9999999
1.0,0.9999982
0.0,0.00038087557
0.0,0.0006597712
0.0,0.037026897
0.0,2.8637909e-05
0.0,0.000787233
1.0,0.9999999
1.0,0.9999963
0.0,0.0009399362
1.0,0.9999131
1.0,1.0
1.0,0.999977
0.0,0.0063651875
1.0,0.96629834
0.0,0.00010420966
1.0,0.99999833
0.0,0.040889535
1.0,0.9999281
0.0,0.0017172048
1.0,0.99999774
0.0,0.0015505716
0.0,7.552073e-05
1.0,0.9999199
1.0,0.9999969
0.0,1.5638207e-05
0.0,0.000581193
1.0,0.9999987
0.0,3.457278e-06
1.0,0.999998
0.0,3.8330003e-07
1.0,1.0
0.0,0.0027227171
1.0,0.9999999
1.0,0.9987526
1.0,0.9988927
0.0,0.00036769963
0.0,0.00012411323
1.0,0.99301857
0.0,5.4993325e-05
1.0,0.99999404
0.0,0.0095563205
0.0,0.020102466
1.0,0.99999845
0.0,2.2989275e-06
1.0,0.9998739
1.0,0.9999745
1.0,0.99813443
0.0,3.759297e-05
1.0,0.99839634
0.0,0.004837628
0.0,0.013503935
1.0,0.9999994
0.0,2.2078946e-06
1.0,0.9999994
0.0,0.002952513
0.0,0.09559062
0.0,4.4112057e-05
0.0,0.023973636
1.0,0.9999995
0.0,0.002418819
1.0,0.87971336
0.0,0.0002599293
1.0,1.0
0.0,7.830855e-06
1.0,0.99992657
0.0,1.649212e-05
0.0,2.6527046e-05
0.0,4.5289118e-05
0.0,0.0042986143
1.0,0.9999937
0.0,6.1943545e-05
1.0,0.9974922
1.0,0.9999963
1.0,0.99999964
1.0,0.999977
0.0,0.0026723477
1.0,0.999783
1.0,0.99997675
0.0,0.0017862532
0.0,0.031015288
0.0,0.00020472171
1.0,0.99975723
1.0,0.99999094
0.0,2.4203043e-06
1.0,0.99897873
0.0,0.0076419106
0.0,1.1145668e-05
0.0,0.0016451589
1.0,0.9999982
1.0,0.9989197
0.0,4.7066605e-06
1.0,0.99999917
0.0,7.4751726e-05
0.0,0.0029790066
1.0,0.95374775
1.0,0.99745005
1.0,0.99999774
0.0,0.099933214
1.0,0.99991274
0.0,3.284178e-05
0.0,0.0054091415
1.0,0.99950397
1.0,0.9999927
1.0,0.99999964
1.0,0.9999945
0.0,0.00023287527
1.0,0.99999595
1.0,0.95693815
1.0,0.99996674
1.0,0.9995192
1.0,0.9999999
0.0,1.9361637e-07
0.0,2.2972245e-06
1.0,0.9999163
1.0,0.9994691
0.0,7.4837094e-06
1.0,0.9847075
1.0,0.9986914
1.0,0.7924385
1.0,0.9999919
0.0,0.00019070477
1.0,0.99996483
0.0,6.2208223e-06
1.0,0.9995641
1.0,0.9435124
0.0,0.0019539485
1.0,0.9999771
1.0,0.99999607
0.0,0.0008489305
0.0,5.0001086e-07
1.0,0.9999989
0.0,4.9198948e-06
1.0,0.9989784
1.0,0.99851996
1.0,0.9999976
1.0,0.99784636
1.0,0.99999595
1.0,0.9998869
0.0,9.706033e-06
1.0,0.99219185
1.0,0.9990601
0.0,0.00025012784
1.0,0.9999759
1.0,0.99999976
0.0,2.4417737e-05
1.0,0.99798644
0.0,0.00014925134
1.0,0.9999975
1.0,0.99987555
1.0,0.99949515
0.0,0.00040262533
0.0,0.0025520434
1.0,0.99997807
1.0,0.99992776
1.0,0.99999833
1.0,0.999995
1.0,0.9999994
1.0,0.9999311
0.0,0.00028162485
0.0,8.334076e-05
0.0,6.93403e-05
0.0,0.0013213658
0.0,0.00011496822
0.0,0.00014863978
0.0,0.21509017
0.0,1.8019496e-07
1.0,1.0
1.0,0.99999964
0.0,0.00019863938
1.0,0.2880105
0.0,0.0067531695
1.0,0.9996326
1.0,0.99999785
0.0,0.0075267996
1.0,0.999856
1.0,0.79340446
1.0,0.9982085
0.0,2.3990542e-05
0.0,2.4989836e-07
0.0,4.994481e-05
1.0,1.0
0.0,6.881381e-08
1.0,0.999995
1.0,0.9940202
0.0,2.266268e-07
1.0,0.99999976
1.0,0.9933028
0.0,0.0016232444
0.0,0.00018590216
0.0,0.61028355
0.0,8.9255314e-05
1.0,0.9850701
0.0,0.010255003
0.0,0.0019462133
1.0,0.9999932
0.0,1.1847578e-05
0.0,0.024662688
1.0,0.99999976
1.0,0.99999666
1.0,0.999705
0.0,0.001392197
0.0,0.0054276665
0.0,0.010636427
1.0,0.9691491
1.0,0.9947785
0.0,0.00041153372
1.0,0.9995598
1.0,0.9999999
1.0,0.9997167
1.0,1.0
0.0,0.007060301
1.0,0.99997723
0.0,3.141261e-08
1.0,0.99976486
1.0,0.9999988
1.0,0.19512117
0.0,7.5815973e-07
1.0,1.0
1.0,0.91225785
0.0,4.698141e-05
1.0,0.9949024
0.0,0.0076841526
1.0,0.99976164
1.0,1.0
0.0,0.0024137143
1.0,0.9999443
0.0,0.0004907189
0.0,0.003588196
0.0,0.00022018292
1.0,0.9999969
0.0,1.11637e-05
1.0,0.9999132
1.0,0.98482865
1.0,0.9994698
1.0,0.9997286
0.0,0.00019689232
0.0,2.1049316e-05
1.0,0.99998057
0.0,8.608013e-06
1.0,0.99999475
0.0,0.00021443602
1.0,0.999962
1.0,0.99999833
0.0,2.5535543e-05
1.0,0.94755805
0.0,7.099737e-07
1.0,0.99996924
1.0,0.9837014
0.0,0.0011376353
0.0,0.0020656982
1.0,1.0
0.0,3.426483e-05
1.0,1.0
1.0,0.9999044
1.0,0.999879
0.0,2.1260207e-06
0.0,0.00012609923
1.0,0.95714
1.0,0.99978036
1.0,0.9948579
0.0,0.0057983827
1.0,0.9999999
0.0,1.4007006e-06
1.0,0.9988965
0.0,0.0007768784
0.0,0.0013768538
0.0,0.008201222
0.0,0.010656632
1.0,0.9999752
1.0,0.98901063
0.0,0.00016670904
1.0,1.0
1.0,0.9999999
1.0,0.8975533
1.0,0.979498
1.0,0.9999751
1.0,0.9999571
1.0,0.9999999
0.0,0.006554564
1.0,0.9999962
1.0,0.99999917
0.0,9.3507966e-05
0.0,0.00023981348
1.0,0.9999995
0.0,0.6747747
1.0,1.0
0.0,0.00058304006
0.0,0.8475453
1.0,0.99999976
1.0,0.9998342
0.0,6.365699e-05
1.0,0.99995923
0.0,3.6049063e-05
0.0,1.0821594e-05
0.0,0.0036743623
1.0,0.99813026
0.0,0.0004334604
